
1,94
2,92
3,93
4,92
5,92
6,93
7,94
8,95
9,92
10,95
11,97
12,96
13,97
14,97
15,97
16,97
17,97
18,98
19,98
20,97
21,96
22,96
23,96
24,95
25,97
26,97
27,97
28,97
29,96
30,95
31,97
32,95
33,96
34,95
35,97
36,94
37,94
38,95
39,93
40,92
41,94
42,96
43,96
44,96
45,96
46,97
47,96
48,96
49,96
50,97
51,96
52,96
53,96
55,96
56,97
57,95
58,97
59,97
60,96
61,95
62,97
63,61
64,96
65,60
66,80
69,31
72,93
73,63
75,87
76,93
77,91
78,95
79,96
80,93
81,94
82,94
83,86
84,84
85,92
86,84
87,87
88,88
89,79
90,82
91,77
92,84
93,81
94,72
95,76
96,51
97,76
98,85
99,87
100,70
101,90
102,25
103,26
104,64
105,75
106,65
107,69
108,67
109,68
110,52
111,56
112,62
113,56
114,60
115,65
116,76
117,66
122,52
123,22
125,27
126,50
127,24
128,56
130,20
136,24
137,70
138,60
139,62
140,66
